step;tempo;distancia;E;K;U;T;raio;virial
36500;365;346.634;1105.93;1106.95;-1.013;737.963;871.812;2212.88
36600;366;347.632;1105.9;1109.12;-321.443;739.412;874.189;2215.02
36700;367;348.577;1105.93;1106.97;-103.516;73.798;876.566;2212.9
36800;368;349.576;1105.93;1107.31;-138.335;738.206;878.943;2213.23
36900;369;350.466;1105.94;1107.25;-131.349;738.169;881.32;2213.19
37000;370;351.362;1105.93;1106.98;-105.019;737.988;883.697;2212.91
37100;371;352.391;1105.97;1108.83;-285.669;739.219;886.074;2214.8
37200;372;353.356;1105.93;1106.94;-100.576;73.796;888.451;2212.87
37300;373;354.312;1105.92;1107.63;-171.455;738.422;890.828;2213.55
37400;374;355.198;1105.94;1107.1;-116.265;738.066;893.205;2213.04
37500;375;356.137;1105.93;1107.05;-112.024;738.034;895.582;2212.98
37600;376;357.184;1105.95;1107.89;-193.683;738.594;897.959;2213.84
37700;377;358.143;1105.93;1106.93;-100.052;737.956;900.336;2212.87
37800;378;359.089;1105.9;1108.3;-240.154;738.869;902.713;2214.21
37900;379;359.983;1105.94;1107.01;-107.388;738.006;905.089;2212.94
38000;380;360.973;1105.93;1107.17;-124.019;738.112;907.466;2213.1
38100;381;362.036;1105.94;1107.44;-14.937;738.291;909.843;2213.38
38200;382;362.966;1105.93;1106.95;-101.862;737.967;912.22;2212.88
38300;383;363.873;1105.93;1109.3;-337.617;739.535;914.597;2215.23
38400;384;364.724;1105.93;1106.96;-102.346;737.972;916.974;2212.89
38500;385;365.709;1105.92;1107.37;-144.889;738.249;919.351;2213.3
38600;386;366.694;1105.94;1107.2;-126.433;738.135;921.728;2213.14
38700;387;367.542;1105.93;1106.99;-106.344;737.996;924.105;2212.93
38800;388;368.495;1105.97;1108.53;-25.574;739.017;926.482;2214.49
38900;389;369.393;1105.93;1106.93;-100.074;737.956;928.859;2212.87
39000;390;370.429;1105.92;1107.76;-184.545;738.507;931.236;2213.68
39100;391;371.345;1105.94;1107.07;-113.332;738.046;933.613;2213.01
39200;392;372.218;1105.93;1107.07;-114.439;738.049;935.989;2213
